region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
Grand Est,operating_expense,data,1,12,- en AE/CP,1705497424,0,1943970784,1943970784,1943970784
Grand Est,operating_expense,data,1,12,- hors AE/CP,379634838,0,411792773,411792773,411792773
Grand Est,operating_expense,data,0,13,94 Services communs non ventilés,921542260,0,965196226,965196226,965196226
Grand Est,operating_expense,data,0,14,953 Virement à la section d'investissement,321928834,,336468536,336468536,336468536
Grand Est,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Grand Est,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,3328603356,0,3657428319,3657428319,3657428319
Grand Est,operating_revenue,data,0,17,93 Services ventilés,342365806,0,549030819,549030819,549030819
Grand Est,operating_revenue,data,0,18,94 Services communs non ventilés,2986237550,0,3108397500,3108397500,3108397500
Grand Est,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
IdF,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,3512516000,0,3736719000,3736719000,3736719000
IdF,investment_expense,data,0,1,90 Opérations ventilées,2.125e+09,0,2.325e+09,2.325e+09,2.325e+09
IdF,investment_expense,data,1,1,- en AP/CP (2),2123717000,0,2324980000,2324980000,2324980000
IdF,investment_expense,data,1,1,- hors AP/CP (2),1283000,0,20000,20000,20000
IdF,investment_expense,data,1,1,Dont opérations pour comptes de tiers,5158433,0,5239000,5239000,5239000
IdF,investment_expense,data,0,2,92 Opérations non ventilées,1387516000,0,1411719000,1411719000,1411719000
IdF,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
IdF,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,3512516000,0,3736719000,3736719000,3736719000
IdF,investment_revenue,data,0,5,90 Opérations ventilées,190797000,0,139799000,139799000,139799000
IdF,investment_revenue,data,1,5,- Recettes affectées,178654000,0,133589000,133589000,133589000
IdF,investment_revenue,data,1,5,- Financement par le tiers de l’opération confiée à la collectivité,12143000,0,6210000,6210000,6210000
IdF,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),3276463000,0,3318492000,3318492000,3318492000
IdF,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,0,0,0,0,0
IdF,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,45256000,,278428000,278428000,278428000
IdF,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
IdF,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
IdF,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,5613108000,0,5909815500,5909815500,5909815500
IdF,operating_expense,data,0,12,93 Services ventilés,2697135000,0,2807135000,2807135000,2807135000
IdF,operating_expense,data,1,12,- en AE/CP,2185066000,0,2262507000,2262507000,2262507000
IdF,operating_expense,data,1,12,- hors AE/CP,512069000,0,544628000,544628000,544628000
IdF,operating_expense,data,0,13,94 Services communs non ventilés,2870717000,0,2824252500,2824252500,2824252500
IdF,operating_expense,data,0,14,953 Virement à la section d'investissement,45256000,,278428000,278428000,278428000
IdF,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
IdF,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,5613108000,0,5909815500,5909815500,5909815500
